,MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
GOT-10k_Val_000001,1.0,0.13281935351140076,60,60,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000002,1.0,0.14290253224210778,100,100,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000003,1.0,0.15895459632093867,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000004,1.0,0.19164747908468202,91,91,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000005,1.0,0.08926517171474753,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000006,1.0,0.1899201186764691,80,80,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000007,0.33999999999999997,0.2652081870570956,100,100,0.67,0.67,0.67,0.67,0.67,0,1,0,33,33,0,2
GOT-10k_Val_000008,1.0,0.10435919408642236,90,90,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000009,1.0,0.2159373733691927,100,100,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000010,1.0,0.1493992950431905,99,99,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000011,0.5,0.29611351219577425,100,100,0.75,0.75,0.75,0.75,0.75,0,1,0,25,25,0,4
GOT-10k_Val_000012,1.0,0.20675067310320275,70,70,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000013,0.94,0.3425788452685761,100,100,0.97,0.97,0.97,0.97,0.97,1,0,0,3,3,0,2
GOT-10k_Val_000014,0.8,0.19715125586259863,100,100,0.9,0.9,0.9,0.9,0.9,1,0,0,10,10,0,1
GOT-10k_Val_000015,1.0,0.155027985080901,120,120,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000016,-0.76,0.14195689506432055,100,100,0.12,0.12,0.12,0.12,0.12,0,0,1,88,88,0,0
GOT-10k_Val_000017,-0.17999999999999994,0.22637298838766526,100,100,0.41,0.41,0.41,0.41,0.41,0,1,0,59,59,0,2
GOT-10k_Val_000018,1.0,0.16051603509827295,100,100,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
GOT-10k_Val_000019,0.0,0.1679148811843834,100,100,0.5,0.5,0.5,0.5,0.5,0,1,0,50,50,0,2
GOT-10k_Val_000020,-0.9795918367346939,0.0,98,98,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0,0,1,97,97,0,0
GOT-10k_Val_000021,0.10909090909090913,0.2843704549239491,110,110,0.5545454545454546,0.5545454545454546,0.5545454545454546,0.5545454545454546,0.5545454545454546,0,1,0,49,49,0,11
GOT-10k_Val_000022,-0.3400000000000001,0.2521850851982096,100,100,0.33,0.33,0.33,0.33,0.33,0,1,0,67,67,0,2
GOT-10k_Val_000023,-0.44999999999999996,0.2814008990188773,80,80,0.275,0.275,0.275,0.275,0.275,0,1,0,58,58,0,3
