,MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0043f083b5,0.18000000000000005,0.18554285872879636,20,50,0.52,0.52,0.52,0.6,0.6,1,1,1,20,20,1,0
0044fa5fba,1.0,0.12158060269771737,18,18,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
005a527edd,0.5517241379310345,0.19293038544958477,29,58,0.7758620689655172,0.7758620689655172,0.7758620689655172,0.7758620689655172,0.7758620689655172,1,1,0,13,13,0,2
0065b171f9,1.0,0.17905012871857895,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
00917dcfc4,0.4137931034482759,0.2334855555810433,20,58,0.6964285714285714,0.7222222222222222,0.6724137931034483,0.6724137931034483,0.7222222222222222,2,0,1,15,19,0,1
00ad5016a4,1.0,0.27809469527422703,19,19,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
01082ae388,1.0,0.17410177130991597,30,30,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
013099c098,0.7894736842105263,0.152415509477816,19,38,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,1,1,0,4,4,0,1
017ac35701,1.0,0.22342889310227015,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
01b80e8e1a,1.0,0.12958978587828704,13,26,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
01c4cb5ffe,0.1807228915662651,0.1811054222271085,36,83,0.6263736263736264,0.5757575757575758,0.6867469879518072,0.6867469879518072,0.5757575757575758,2,0,1,42,26,0,3
01c76f0a82,0.7681159420289855,0.13012002267262987,20,69,0.8840579710144928,0.8840579710144928,0.8840579710144928,0.8840579710144928,0.8840579710144928,3,0,1,8,8,0,0
01c783268c,0.4722222222222222,0.23319256596612808,36,72,0.7361111111111112,0.7361111111111112,0.7361111111111112,0.7361111111111112,0.7361111111111112,1,1,0,19,19,0,3
01ed275c6e,0.7,0.2524727764579549,20,40,0.85,0.85,0.85,0.85,0.85,1,1,0,6,6,0,1
01ff60d1fa,1.0,0.09707091919375184,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
020cd28cd2,0.4285714285714286,0.28492600700102805,28,28,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0,1,0,8,8,0,3
02264db755,1.0,0.11253167809198238,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0248626d9a,0.5789473684210527,0.2712031210429022,19,19,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263,0,1,0,4,4,0,1
02668dbffa,1.0,0.15333681910100921,30,30,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0274193026,0.3921568627450981,0.2709503563357382,29,51,0.7155963302752294,0.6724137931034483,0.7647058823529411,0.7647058823529411,0.6724137931034483,1,1,0,19,12,0,6
02d28375aa,1.0,0.2281856499479288,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
02f3a5c4df,1.0,0.18512033130702488,10,30,1.0,1.0,1.0,1.0,1.0,3,0,0,0,0,0,0
0355e92655,0.08771929824561409,0.26089738689104364,19,57,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,0.543859649122807,1,2,0,26,26,0,3
0358b938c1,0.04878048780487809,0.20417872245940571,19,41,0.6,0.5084745762711864,0.7317073170731707,0.7560975609756098,0.5254237288135594,1,3,0,28,10,1,1
038b2cc71d,-0.16666666666666674,0.3779375405974417,19,18,0.43243243243243246,0.42105263157894735,0.4444444444444444,0.4444444444444444,0.42105263157894735,0,1,0,11,10,0,3
03a63e187f,-0.25,0.127482389239688,36,36,0.36619718309859156,0.37142857142857144,0.3611111111111111,0.3611111111111111,0.37142857142857144,0,1,0,22,23,0,0
03e2b57b0e,0.9333333333333333,0.28564846591414816,30,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,1,0,0,1,1,0,1
04194e1248,1.0,0.11331231420738362,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0444918a5f,0.619718309859155,0.186646150410982,20,71,0.8211920529801324,0.775,0.8732394366197183,0.8732394366197183,0.775,3,1,0,18,9,0,0
04460a7a52,0.8888888888888888,0.28354548911288946,36,36,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1,0,0,2,2,0,1
04474174a4,0.41666666666666663,0.28290423652181584,36,72,0.6527777777777778,0.6527777777777778,0.6527777777777778,0.7222222222222222,0.7222222222222222,1,1,0,20,20,2,8
045f00aed2,-0.20560747663551404,0.1309844546459846,36,107,0.39436619718309857,0.39622641509433965,0.3925233644859813,0.3925233644859813,0.39622641509433965,1,0,2,64,65,0,1
04667fabaa,1.0,0.19588427222261948,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
04735c5030,0.8421052631578947,0.2002374833342395,19,38,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473,2,0,0,3,3,0,1
04d62d9d98,0.35,0.21481800159365083,20,40,0.675,0.675,0.675,0.675,0.675,1,1,0,13,13,0,1
04f21da964,1.0,0.07618737532062714,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
04fbad476e,0.7222222222222222,0.16118999162095254,36,36,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,1,0,0,5,5,0,3
04fe256562,0.8518518518518519,0.1217715199990086,20,27,0.92,1.0,0.8518518518518519,0.8518518518518519,1.0,1,1,0,0,4,0,1
054acb238f,1.0,0.14079804244095026,36,36,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
05579ca250,-0.17647058823529416,0.22183996743387632,30,68,0.4936708860759494,0.43333333333333335,0.5735294117647058,0.5735294117647058,0.43333333333333335,2,0,1,51,29,0,2
05774f3a2c,0.9444444444444444,0.1951382450716611,36,108,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,3,0,0,3,3,0,2
058a7592c8,1.0,0.2763799040820652,20,20,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
05a0a513df,0.4722222222222222,0.22062835201343411,20,36,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.75,0.75,1,1,0,9,9,1,2
05a569d8aa,0.5675675675675675,0.2884942986502335,19,37,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.7837837837837838,1,1,0,8,8,0,5
05aa652648,1.0,0.12062776280126083,30,30,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
05e0b0f28f,0.06666666666666665,0.09025292663011442,30,60,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,1,0,1,28,28,0,0
05ffcfed85,-0.19999999999999996,0.3650678877017906,36,60,0.37209302325581395,0.34782608695652173,0.4,0.48333333333333334,0.42028985507246375,0,2,0,40,31,1,6
0630391881,0.038461538461538436,0.21393220016976333,30,52,0.5535714285714286,0.5166666666666667,0.5961538461538461,0.5961538461538461,0.5166666666666667,1,0,1,29,21,0,0
06840b2bbe,1.0,0.16812759490264248,19,19,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
068f7dce6f,0.7222222222222222,0.2043652768038772,36,36,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,1,0,0,5,5,0,0
0693719753,1.0,0.1360967308053175,30,60,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
06fbb3fa2c,1.0,0.16539410405173002,18,18,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0700264286,1.0,0.14078651523895175,19,38,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
070c918ca7,0.8333333333333334,0.2988638566280639,36,36,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,0,0,3,3,0,3
07129e14a4,0.9351851851851852,0.15577057953542725,36,108,0.9665071770334929,1.0,0.9351851851851852,0.9351851851851852,1.0,3,0,0,0,7,0,6
07238ffc58,0.5306122448979591,0.28823734024156256,36,98,0.7653061224489796,0.7653061224489796,0.7653061224489796,0.7653061224489796,0.7653061224489796,2,0,1,23,23,0,0
0738493cbf,1.0,0.1759690170272989,18,18,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
075926c651,0.41666666666666663,0.17178174354977233,18,24,0.7666666666666667,0.6388888888888888,0.9583333333333334,0.9583333333333334,0.6388888888888888,2,0,0,13,1,0,0
07652ee4af,0.10344827586206895,0.27128184760570506,30,58,0.559322033898305,0.55,0.5689655172413793,0.5689655172413793,0.55,1,0,1,27,25,0,2
077d32af19,1.0,0.14094432717955563,20,80,1.0,1.0,1.0,1.0,1.0,4,0,0,0,0,0,0
079049275c,0.9310344827586207,0.25579197791461566,29,29,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,1,0,0,1,1,0,1
07913cdda7,0.7678571428571428,0.21796122812093077,19,56,0.8849557522123894,0.8771929824561403,0.8928571428571429,0.8928571428571429,0.8771929824561403,2,1,0,7,6,0,0
07a11a35e8,1.0,0.128302980759753,36,72,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0
