MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.5121951219512195,0.2035559223334404,123,123,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7560975609756098,0.7560975609756098,0,1,0,30,30,0,1
1.0,0.12930712662211985,123,123,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.13559612627161594,123,123,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.07692307692307687,0.11900183140944602,26,26,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0,1,0,12,12,0,0
0.040000000000000036,0.19905539658797083,50,50,0.52,0.52,0.52,0.52,0.52,0,1,0,24,24,0,2
-0.034482758620689724,0.1796890119777668,29,29,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552,0,1,0,15,15,0,0
-0.9534883720930232,0.0,43,43,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0,0,1,42,42,0,0
0.640625,0.2687935317947195,128,128,0.8203125,0.8203125,0.8203125,0.8203125,0.8203125,1,0,0,23,23,0,1
1.0,0.20851363061116113,153,153,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.17105263157894735,0.3678457324466216,152,152,0.4144736842105263,0.4144736842105263,0.4144736842105263,0.4144736842105263,0.4144736842105263,0,1,0,89,89,0,7
1.0,0.30566352751028275,153,153,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.875,0.21764904319132958,176,176,0.0625,0.0625,0.0625,0.0625,0.0625,0,0,1,165,165,0,2
1.0,0.08787777967000744,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.08227252387350936,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.6045197740112994,0.0886538892135178,177,177,0.8022598870056498,0.8022598870056498,0.8022598870056498,0.8022598870056498,0.8022598870056498,1,0,0,35,35,0,5
0.8418079096045198,0.4010616436892872,177,177,0.9209039548022598,0.9209039548022598,0.9209039548022598,0.9209039548022598,0.9209039548022598,1,0,0,14,14,0,12
0.33333333333333337,0.11882066592872548,177,177,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,0,59,59,0,5
1.0,0.16686347630767717,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.1574797687231076,198,198,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.2481243648461953,198,198,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.07692307692307687,0.2553532250485925,156,156,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0,1,0,72,72,0,0
0.15384615384615385,0.13977922186839992,182,182,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0,1,0,77,77,0,1
-0.8951612903225807,0.22234963688142445,248,248,0.05241935483870968,0.05241935483870968,0.05241935483870968,0.05241935483870968,0.05241935483870968,0,0,1,235,235,0,1
-0.35622317596566533,0.21179071399446683,233,233,0.3218884120171674,0.3218884120171674,0.3218884120171674,0.3218884120171674,0.3218884120171674,0,1,0,158,158,0,2
-0.6829268292682926,0.12505322837356334,246,246,0.15853658536585366,0.15853658536585366,0.15853658536585366,0.15853658536585366,0.15853658536585366,0,0,1,207,207,0,1
1.0,0.15858589808532433,258,258,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9097744360902256,0.2929080796844461,133,133,0.045112781954887216,0.045112781954887216,0.045112781954887216,0.045112781954887216,0.045112781954887216,0,0,1,127,127,0,3
-0.8409090909090908,0.15981305605450727,88,88,0.07954545454545454,0.07954545454545454,0.07954545454545454,0.07954545454545454,0.07954545454545454,0,0,1,81,81,0,0
0.25396825396825395,0.3496312210488955,126,126,0.626984126984127,0.626984126984127,0.626984126984127,0.626984126984127,0.626984126984127,0,1,0,47,47,0,6
-0.7301587301587302,0.12803314111302655,126,126,0.1349206349206349,0.1349206349206349,0.1349206349206349,0.1349206349206349,0.1349206349206349,0,0,1,109,109,0,0
1.0,0.16949655936115643,126,126,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.22726782783031008,126,126,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.2216671368783915,126,126,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.7730496453900708,0.28964669432175166,564,564,0.11347517730496454,0.11347517730496454,0.11347517730496454,0.11347517730496454,0.11347517730496454,0,0,1,500,500,0,11
0.26751592356687903,0.28648024919127824,628,628,0.6337579617834395,0.6337579617834395,0.6337579617834395,0.6337579617834395,0.6337579617834395,0,1,0,230,230,0,17
-0.25,0.3427204512385867,40,40,0.375,0.375,0.375,0.375,0.375,0,1,0,25,25,0,3
-0.9743589743589745,0.0,78,78,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0,0,1,77,77,0,0
-0.96875,0.0,64,64,0.015625,0.015625,0.015625,0.015625,0.015625,0,0,1,63,63,0,0
-0.4803149606299213,0.28932059648394326,254,254,0.25984251968503935,0.25984251968503935,0.25984251968503935,0.25984251968503935,0.25984251968503935,0,1,0,188,188,0,6
1.0,0.08845052023510333,224,224,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.21637381537058956,57,57,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.9663865546218487,0.18549147124570453,119,119,0.9831932773109243,0.9831932773109243,0.9831932773109243,0.9831932773109243,0.9831932773109243,1,0,0,2,2,0,1
1.0,0.08940400583664647,192,192,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.13251285091340811,192,192,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9895833333333333,0.0,192,192,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.005208333333333333,0,0,1,191,191,0,0
-0.5164835164835164,0.39810513426115346,273,273,0.24175824175824176,0.24175824175824176,0.24175824175824176,0.24175824175824176,0.24175824175824176,0,1,0,207,207,0,23
-0.20848056537102466,0.25588209838340853,283,283,0.3957597173144876,0.3957597173144876,0.3957597173144876,0.3957597173144876,0.3957597173144876,0,1,0,171,171,0,3
1.0,0.08164096576797962,287,287,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.20557491289198615,0.4276523024997197,287,287,0.397212543554007,0.397212543554007,0.397212543554007,0.397212543554007,0.397212543554007,0,1,0,173,173,0,31
0.0,0.0,2,2,0.5,0.5,0.5,0.5,0.5,0,1,0,1,1,0,0
-0.48587570621468923,0.22972246812804745,354,354,0.2570621468926554,0.2570621468926554,0.2570621468926554,0.2570621468926554,0.2570621468926554,0,1,0,263,263,0,2
1.0,0.15006010642829018,3,3,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.19508172940912324,365,365,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.060609584181431676,363,363,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
