MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
-0.5447154471544715,0.15275616094776473,123,123,0.22764227642276422,0.22764227642276422,0.22764227642276422,0.22764227642276422,0.22764227642276422,0,1,0,95,95,0,0
1.0,0.16385194753183524,123,123,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.3507117248980915,123,123,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.07692307692307687,0.09776411519364014,26,26,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0,1,0,12,12,0,0
-0.19999999999999996,0.17401639379927808,50,50,0.4,0.4,0.4,0.4,0.4,0,1,0,30,30,0,0
0.03448275862068961,0.21190686469986025,29,29,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0,1,0,14,14,0,0
-0.9534883720930232,0.0,43,43,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0,0,1,42,42,0,0
0.328125,0.4135422351825425,128,128,0.6640625,0.6640625,0.6640625,0.6640625,0.6640625,0,1,0,43,43,0,1
1.0,0.16944271005675032,153,153,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.6644736842105263,0.35824352988670716,152,152,0.15384615384615385,0.1564625850340136,0.1513157894736842,0.1513157894736842,0.1564625850340136,0,0,1,124,129,0,5
1.0,0.13151256032217368,153,153,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9090909090909092,0.1318563668522555,176,176,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0,0,1,168,168,0,0
1.0,0.0868366241704887,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.12558480199132208,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.728813559322034,0.14941499409330178,177,177,0.864406779661017,0.864406779661017,0.864406779661017,0.864406779661017,0.864406779661017,1,0,0,24,24,0,6
0.9322033898305084,0.17102848416556976,177,177,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9661016949152542,1,0,0,6,6,0,6
0.24293785310734461,0.1462327452148736,177,177,0.6214689265536724,0.6214689265536724,0.6214689265536724,0.6214689265536724,0.6214689265536724,0,1,0,67,67,0,3
1.0,0.16788752823481465,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.17127399801285279,198,198,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.16378106971494233,198,198,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.07692307692307687,0.2108263558645022,156,156,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0,1,0,72,72,0,0
0.15384615384615385,0.16752474796185088,182,182,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0,1,0,77,77,0,1
-0.903225806451613,0.25429467356488183,248,248,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.04838709677419355,0,0,1,236,236,0,1
-0.5793991416309012,0.20841576997184438,233,233,0.21030042918454936,0.21030042918454936,0.21030042918454936,0.21030042918454936,0.21030042918454936,0,1,0,184,184,0,7
-0.6829268292682926,0.13036990227803325,246,246,0.15853658536585366,0.15853658536585366,0.15853658536585366,0.15853658536585366,0.15853658536585366,0,0,1,207,207,0,0
1.0,0.17630272849803438,258,258,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9548872180451127,0.2895002594737753,133,133,0.022556390977443608,0.022556390977443608,0.022556390977443608,0.022556390977443608,0.022556390977443608,0,0,1,130,130,0,1
-0.8409090909090908,0.23733188281849174,88,88,0.07954545454545454,0.07954545454545454,0.07954545454545454,0.07954545454545454,0.07954545454545454,0,0,1,81,81,0,0
0.6190476190476191,0.306277655606284,126,126,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,1,0,0,24,24,0,6
-0.7142857142857142,0.14463699698973675,126,126,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,1,108,108,0,0
1.0,0.1662093668486138,126,126,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.8412698412698413,0.25260885191675325,126,126,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.9206349206349206,1,0,0,10,10,0,4
1.0,0.1932192128327606,126,126,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9007092198581561,0.3604130175542243,564,564,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199,0,0,1,536,536,0,8
0.0,0.362911077987341,628,628,0.5,0.5,0.5,0.5,0.5,0,1,0,314,314,0,26
-0.8500000000000001,0.2784323075113565,40,40,0.075,0.075,0.075,0.075,0.075,0,0,1,37,37,0,1
-0.9743589743589745,0.0,78,78,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0,0,1,77,77,0,0
-0.96875,0.0,64,64,0.015625,0.015625,0.015625,0.015625,0.015625,0,0,1,63,63,0,0
-0.6141732283464567,0.4165443973604998,254,254,0.19291338582677164,0.19291338582677164,0.19291338582677164,0.19291338582677164,0.19291338582677164,0,0,1,205,205,0,5
1.0,0.11679012892700112,224,224,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.23077896784296623,57,57,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.9663865546218487,0.16032127599132384,119,119,0.9831932773109243,0.9831932773109243,0.9831932773109243,0.9831932773109243,0.9831932773109243,1,0,0,2,2,0,1
1.0,0.16666892008132747,192,192,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.13929402128795,192,192,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9895833333333333,0.0,192,192,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.005208333333333333,0,0,1,191,191,0,0
0.05494505494505497,0.39662065686522335,273,273,0.5274725274725275,0.5274725274725275,0.5274725274725275,0.5274725274725275,0.5274725274725275,0,1,0,129,129,0,25
0.23674911660777387,0.28233675561420263,283,283,0.6183745583038869,0.6183745583038869,0.6183745583038869,0.6183745583038869,0.6183745583038869,0,1,0,108,108,0,7
1.0,0.12879326518685508,287,287,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.5470383275261324,0.444297081815802,287,287,0.2264808362369338,0.2264808362369338,0.2264808362369338,0.2264808362369338,0.2264808362369338,0,1,0,222,222,0,30
1.0,0.242751955821445,2,2,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.5028248587570621,0.2541354667844885,354,354,0.24858757062146894,0.24858757062146894,0.24858757062146894,0.24858757062146894,0.24858757062146894,0,1,0,266,266,0,1
1.0,0.18191588282845275,3,3,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.21231266248847308,365,365,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.1717046431227188,363,363,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.11423708763129756,364,364,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.7032967032967032,0.3734575634034979,364,364,0.14835164835164835,0.14835164835164835,0.14835164835164835,0.14835164835164835,0.14835164835164835,0,0,1,310,310,0,20
0.8794520547945206,0.42526383679146174,365,365,0.9397260273972603,0.9397260273972603,0.9397260273972603,0.9397260273972603,0.9397260273972603,1,0,0,22,22,0,17
0.35930735930735935,0.21026906815605473,231,231,0.6796536796536796,0.6796536796536796,0.6796536796536796,0.6796536796536796,0.6796536796536796,0,1,0,74,74,0,1
1.0,0.09776558915810235,233,233,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9642857142857142,0.3280941459582381,336,336,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0,0,1,330,330,0,1
-0.9312977099236641,0.2751256097068362,262,262,0.03435114503816794,0.03435114503816794,0.03435114503816794,0.03435114503816794,0.03435114503816794,0,0,1,253,253,0,1
1.0,0.12071795895142548,290,290,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9703703703703703,0.12047199850159207,270,270,0.014814814814814815,0.014814814814814815,0.014814814814814815,0.014814814814814815,0.014814814814814815,0,0,1,266,266,0,0
1.0,0.1378676076088649,297,297,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.34739690136373774,297,297,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.8653198653198653,0.19806747469154876,297,297,0.9326599326599326,0.9326599326599326,0.9326599326599326,0.9326599326599326,0.9326599326599326,1,0,0,20,20,0,5
1.0,0.17191715526819532,613,613,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.1691728336321492,596,596,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.5567190226876091,0.25295055860546445,573,573,0.22164048865619546,0.22164048865619546,0.22164048865619546,0.22164048865619546,0.22164048865619546,0,1,0,446,446,0,8
-0.9956803455723542,0.0,463,463,0.0021598272138228943,0.0021598272138228943,0.0021598272138228943,0.0021598272138228943,0.0021598272138228943,0,0,1,462,462,0,0
-0.8400000000000001,0.17184689807556397,100,100,0.08,0.08,0.08,0.08,0.08,0,0,1,92,92,0,0
1.0,0.11281977005726589,104,104,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.21673846933603647,0.20095002705013795,15784,15784,0.6083071951335425,0.6084035743709995,0.6082108464267613,0.6082108464267613,0.6084035743709995,36,16,20,6179,6184,0,198
