MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.46341463414634143,0.15984109198187826,123,123,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.7317073170731707,0,1,0,33,33,0,2
1.0,0.14651604204450905,123,123,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.2375173342408582,123,123,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.07692307692307687,0.12306320335099344,26,26,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0,1,0,12,12,0,0
-0.24,0.11221763660374359,50,50,0.38,0.38,0.38,0.38,0.38,0,1,0,31,31,0,0
0.03448275862068961,0.19826052687782666,29,29,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.5172413793103449,0,1,0,14,14,0,0
-0.9534883720930232,0.0,43,43,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372,0,0,1,42,42,0,0
0.640625,0.2273629942224424,128,128,0.8203125,0.8203125,0.8203125,0.8203125,0.8203125,1,0,0,23,23,0,1
1.0,0.09854811638758137,153,153,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.644736842105263,0.386715476684446,152,152,0.17763157894736842,0.17763157894736842,0.17763157894736842,0.17763157894736842,0.17763157894736842,0,0,1,125,125,0,10
1.0,0.2597088321322598,153,153,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.05681818181818177,0.21618238758530128,176,176,0.5284090909090909,0.5284090909090909,0.5284090909090909,0.5284090909090909,0.5284090909090909,0,1,0,83,83,0,5
1.0,0.10072374131636411,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.08938488290419934,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.5254237288135593,0.10983596747087941,177,177,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.7627118644067796,0,1,0,42,42,0,1
0.943502824858757,0.2940790568742537,177,177,0.9717514124293786,0.9717514124293786,0.9717514124293786,0.9717514124293786,0.9717514124293786,1,0,0,5,5,0,5
0.4463276836158192,0.1156504138679864,177,177,0.7231638418079096,0.7231638418079096,0.7231638418079096,0.7231638418079096,0.7231638418079096,0,1,0,49,49,0,2
1.0,0.1757669921741722,176,176,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.18722055011215707,198,198,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.23598691511156789,198,198,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.05128205128205132,0.15012483028357065,156,156,0.5256410256410257,0.5256410256410257,0.5256410256410257,0.5256410256410257,0.5256410256410257,0,1,0,74,74,0,1
0.1428571428571429,0.19419128440474434,182,182,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,1,0,78,78,0,0
-0.8951612903225807,0.2948006676350007,248,248,0.05241935483870968,0.05241935483870968,0.05241935483870968,0.05241935483870968,0.05241935483870968,0,0,1,235,235,0,1
-0.0815450643776825,0.20805781829616,233,233,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.4592274678111588,0,1,0,126,126,0,12
-0.6829268292682926,0.08066024274899157,246,246,0.15853658536585366,0.15853658536585366,0.15853658536585366,0.15853658536585366,0.15853658536585366,0,0,1,207,207,0,0
1.0,0.16940882139054003,258,258,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9548872180451127,0.2720466455217835,133,133,0.022556390977443608,0.022556390977443608,0.022556390977443608,0.022556390977443608,0.022556390977443608,0,0,1,130,130,0,2
-0.8181818181818181,0.1992121260768915,88,88,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,1,80,80,0,0
0.46031746031746035,0.3370272061698732,126,126,0.7301587301587301,0.7301587301587301,0.7301587301587301,0.7301587301587301,0.7301587301587301,0,1,0,34,34,0,1
-0.7301587301587302,0.24078302580212257,126,126,0.1349206349206349,0.1349206349206349,0.1349206349206349,0.1349206349206349,0.1349206349206349,0,0,1,109,109,0,1
1.0,0.18260643983500027,126,126,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.17530866355810673,126,126,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.1954024560935434,126,126,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.7304964539007093,0.31268841064024266,564,564,0.1347517730496454,0.1347517730496454,0.1347517730496454,0.1347517730496454,0.1347517730496454,0,0,1,488,488,0,11
0.0031847133757961776,0.29061583907933264,628,628,0.5015923566878981,0.5015923566878981,0.5015923566878981,0.5015923566878981,0.5015923566878981,0,1,0,313,313,0,35
-0.44999999999999996,0.2991140802877348,40,40,0.275,0.275,0.275,0.275,0.275,0,1,0,29,29,0,1
-0.9743589743589745,0.0,78,78,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.01282051282051282,0,0,1,77,77,0,0
-0.96875,0.0,64,64,0.015625,0.015625,0.015625,0.015625,0.015625,0,0,1,63,63,0,0
-0.7007874015748032,0.3283983650689148,254,254,0.14960629921259844,0.14960629921259844,0.14960629921259844,0.14960629921259844,0.14960629921259844,0,0,1,216,216,0,12
1.0,0.09964116428957577,224,224,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.25386246599483864,57,57,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.9831932773109243,0.18566539166694518,119,119,0.9915966386554622,0.9915966386554622,0.9915966386554622,0.9915966386554622,0.9915966386554622,1,0,0,1,1,0,1
1.0,0.07085437088370415,192,192,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.1525514726831977,192,192,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.9895833333333333,0.0,192,192,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.005208333333333333,0,0,1,191,191,0,0
0.4432234432234432,0.2659427592784829,273,273,0.7216117216117216,0.7216117216117216,0.7216117216117216,0.7216117216117216,0.7216117216117216,0,1,0,76,76,0,7
0.06713780918727918,0.21387147905759457,283,283,0.5335689045936396,0.5335689045936396,0.5335689045936396,0.5335689045936396,0.5335689045936396,0,1,0,132,132,0,3
1.0,0.13697790806484053,287,287,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
0.554006968641115,0.3204950185767689,287,287,0.7770034843205574,0.7770034843205574,0.7770034843205574,0.7770034843205574,0.7770034843205574,0,1,0,64,64,0,24
1.0,0.2146801656695812,2,2,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.5197740112994351,0.2493468877432996,354,354,0.2401129943502825,0.2401129943502825,0.2401129943502825,0.2401129943502825,0.2401129943502825,0,1,0,269,269,0,6
1.0,0.2338074789765611,3,3,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.1635912537823119,365,365,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.15144157253324922,363,363,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1.0,0.1106108681080877,364,364,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
-0.456043956043956,0.3689101230506108,364,364,0.27197802197802196,0.27197802197802196,0.27197802197802196,0.27197802197802196,0.27197802197802196,0,1,0,265,265,0,24
0.9013698630136986,0.3532276509592812,365,365,0.9506849315068493,0.9506849315068493,0.9506849315068493,0.9506849315068493,0.9506849315068493,1,0,0,18,18,0,14
