MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.6101568334578042,0.20825088286535695,123,1339,0.7707172054998142,0.7670118343195266,0.7744585511575803,0.8140403286034354,0.8062130177514792,7,4,0,262,249,11,30
0.10612244897959189,0.258245060353577,51,490,0.5120772946859904,0.48623853211009177,0.5408163265306123,0.6142857142857143,0.5522935779816514,4,5,2,244,189,5,9
0.6229508196721312,0.1746368112716546,153,1586,0.8149281125726522,0.7914438502673797,0.8398486759142497,0.8423707440100883,0.7938205585264408,8,3,0,347,250,1,21
0.760014179369018,0.1460519299853919,177,2821,0.8611350698637226,0.8387096774193549,0.8847926267281107,0.9078341013824884,0.8605510752688172,15,2,1,415,260,2,22
0.6144741291849848,0.16173937138624975,198,2957,0.8126735260493222,0.7858496525584333,0.841393304024349,0.8427460263780859,0.7871130764371447,12,2,2,674,465,1,9
-0.23746223564954683,0.228675981657858,330,1655,0.4213197969543147,0.3950290851401375,0.4513595166163142,0.454380664652568,0.39767318878900054,1,2,3,1139,903,6,30
0.6069364161849711,0.15376678589519358,186,1557,0.77299473521214,0.7464114832535885,0.8015414258188824,0.8413615928066795,0.7834928229665071,7,1,1,362,247,3,17
0.3752161383285303,0.17495317695922433,258,1735,0.6320248517367976,0.6196013289036545,0.6449567723342939,0.7106628242074928,0.6827242524916943,3,4,0,573,502,9,41
-0.9072978303747534,0.23762048307050246,162,507,0.1100762066045724,0.09643916913946587,0.1282051282051282,0.21893491124260356,0.16468842729970326,0,1,4,563,396,8,19
0.7453083109919572,0.1662916765349321,102,373,0.8783610755441741,0.8406862745098039,0.9195710455764075,0.9195710455764075,0.8406862745098039,3,1,0,65,30,0,3
0.657465495608532,0.1820342816976631,126,1594,0.8310643564356436,0.8199023199023199,0.842534504391468,0.842534504391468,0.8199023199023199,9,2,2,295,251,0,3
-0.7147447340235631,0.3150448271199693,630,2801,0.23142688679245282,0.19708762239517952,0.28025705105319526,0.3573723670117815,0.2513181019332162,0,4,3,2982,1800,21,87
-0.5772727272727274,0.14900651983423815,78,220,0.20454545454545456,0.20454545454545456,0.20454545454545456,0.21363636363636362,0.21363636363636362,0,1,2,173,173,1,1
0.6097297297297297,0.16591689947411334,254,2775,0.8123172200240839,0.7771560236998025,0.8508108108108108,0.8529729729729729,0.7791310072416063,10,2,0,671,408,4,32
0.3473436449226631,0.19411623525869995,230,2974,0.6890756302521008,0.6413673232908459,0.7444519166106254,0.7548755884330868,0.6503476245654692,13,4,1,1207,729,5,77
0.21845574387947264,0.217587524273709,119,1062,0.6307829181494662,0.5978077571669477,0.667608286252354,0.667608286252354,0.5978077571669477,5,3,2,477,353,0,13
0.4489947877885332,0.15528055951254102,192,1343,0.7219947897283215,0.7217261904761905,0.7222635889798957,0.7252419955323902,0.7247023809523809,5,0,2,370,369,1,2
0.4405526992287918,0.17097733981310487,287,3112,0.7272727272727273,0.6911722141823444,0.7673521850899743,0.7766709511568124,0.6995658465991317,8,4,1,1038,695,8,42
0.36548223350253806,0.18884848207277335,354,2758,0.6902404526166902,0.673567977915804,0.7077592458303118,0.7099347353154459,0.6756383712905452,5,4,0,940,800,10,31
0.45539906103286387,0.16920686030564652,365,4686,0.7411685436519395,0.6750832894967561,0.8215962441314554,0.8373879641485276,0.6880589163598106,13,3,1,1779,762,11,42
0.2951314088754847,0.17496722157591635,233,2321,0.6454525908406794,0.644206008583691,0.6467040068935803,0.6501507970702284,0.6476394849785407,5,3,2,821,812,3,70
0.21279507355456717,0.17015161631562906,336,2923,0.622479287165859,0.5731145653425446,0.6811495039343141,0.7027027027027027,0.5912492803684514,7,2,2,1420,869,12,66
0.5923211169284468,0.14397219798010955,290,2865,0.7965156794425087,0.7951304347826087,0.7979057591623037,0.7986038394415358,0.7958260869565218,8,0,2,587,577,4,13
0.6103896103896104,0.1998278437485004,297,2079,0.8051948051948052,0.8051948051948052,0.8051948051948052,0.8051948051948052,0.8051948051948052,5,2,0,405,405,0,33
0.3850036049026676,0.14813066801288458,614,6935,0.7055574732481877,0.6768211920529801,0.7368421052631579,0.7378514780100938,0.677748344370861,9,1,3,2433,1818,14,43
0.4303647560397915,0.18116224965320357,598,8444,0.7264077884721761,0.681544529790326,0.7775935575556608,0.7870677404073899,0.6898484533942287,11,6,2,2988,1798,24,158
0.504885993485342,0.21788265384604402,104,921,0.7517501346257405,0.7457264957264957,0.757871878393051,0.761129207383279,0.7489316239316239,5,2,2,235,220,1,15
0.3836472166952015,0.1758174737073349,6847,64833,0.6956528095554857,0.6611688528234771,0.7339317939937995,0.7481220983141301,0.6739523121387283,178,68,40,23465,16330,165,929
