MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
-0.6407766990291262,0.09691161672501465,123,1339,0.18357487922705315,0.18269230769230768,0.18446601941747573,0.18446601941747573,0.18269230769230768,2,0,9,1105,1092,0,2
-0.7326530612244897,0.28521819068350485,51,490,0.17777777777777778,0.1688073394495413,0.18775510204081633,0.18979591836734694,0.1706422018348624,1,2,8,452,397,0,2
0.10025220680958391,0.22225614676457423,153,1586,0.5622514530437442,0.5460487225193108,0.5794451450189155,0.5813366960907944,0.5478312537136066,6,0,5,761,664,2,2
-0.47288195675292455,0.26183707895443786,177,2821,0.28344827586206894,0.2759315206445116,0.2913860333215172,0.29174051754696917,0.2762672037596509,6,1,11,2156,1998,1,8
-0.4910382144064931,0.23943255713396888,198,2957,0.27983673469387754,0.27051767676767674,0.28982076428812986,0.2901589448765641,0.2708333333333333,4,1,11,2310,2099,0,22
-0.6543806646525681,0.12311296631656533,330,1655,0.22786238014664412,0.21364357482813326,0.24410876132930515,0.24410876132930515,0.21364357482813326,1,0,5,1487,1251,0,38
-0.35838150289017334,0.24658123374438906,186,1557,0.34499845153298236,0.333133971291866,0.35773924213230573,0.35773924213230573,0.333133971291866,3,0,6,1115,1000,0,0
-0.4011527377521613,0.34268247114520234,258,1735,0.31347077096865295,0.3073089700996678,0.31988472622478387,0.32046109510086457,0.3078626799557032,2,0,5,1250,1179,2,2
-1.1203155818540433,0.14279926063526086,162,507,0.08975444538526672,0.07863501483679525,0.10453648915187377,0.10453648915187377,0.07863501483679525,0,1,4,621,454,0,1
-0.24932975871313667,0.2586421192773297,102,373,0.4046094750320102,0.3872549019607843,0.42359249329758714,0.42359249329758714,0.3872549019607843,2,0,2,250,215,1,5
-0.6856963613550815,0.3616632063617157,126,1594,0.16893564356435645,0.16666666666666666,0.171267252195734,0.171267252195734,0.16666666666666666,2,0,11,1365,1321,1,1
-1.061763655837201,0.36419266123407007,630,2801,0.13001179245283018,0.11072056239015818,0.15744377008211352,0.18100678329168154,0.12729098669344716,0,3,4,3476,2294,5,38
-0.990909090909091,0.0,78,220,0.004545454545454545,0.004545454545454545,0.004545454545454545,0.004545454545454545,0.004545454545454545,0,0,3,219,219,0,0
-0.5181981981981982,0.15480732026382893,254,2775,0.2752451402029933,0.2633311389071758,0.2882882882882883,0.2882882882882883,0.2633311389071758,3,0,9,2238,1975,0,4
-0.6862811028917284,0.14110283193192083,230,2974,0.2184873949579832,0.2033603707995365,0.23604572965702758,0.23739071956960323,0.20451911935110081,3,0,15,2746,2268,1,14
-0.8399246704331451,0.22781321472127877,119,1062,0.1307829181494662,0.1239460370994941,0.1384180790960452,0.1384180790960452,0.1239460370994941,1,1,8,1039,915,0,8
-0.40804169769173493,0.28531493587325113,192,1343,0.29624116114625976,0.2961309523809524,0.29635145197319435,0.29635145197319435,0.2961309523809524,2,0,5,946,945,0,2
-0.47847043701799485,0.29081161422880714,287,3112,0.2993756662098371,0.2845151953690304,0.31587403598971725,0.31587403598971725,0.2845151953690304,3,1,9,2472,2129,0,19
-0.47715736040609147,0.28476524095935,354,2758,0.27934936350777934,0.2726017943409248,0.2864394488759971,0.2868020304568528,0.27294685990338163,2,1,6,2107,1967,0,5
-0.7210840802390097,0.12616743632076194,365,4686,0.22369814226585813,0.2037524110117482,0.2479726845924029,0.2479726845924029,0.2037524110117482,3,0,14,4541,3524,0,21
-0.6027574321413185,0.20188165548913045,233,2321,0.20038701354547409,0.2,0.2007755277897458,0.2007755277897458,0.2,2,0,8,1864,1855,1,0
-0.8966814916182004,0.22466878889478376,336,2923,0.13162419884320775,0.12118595279217041,0.14403010605542252,0.1460827916524119,0.12291306850892343,2,0,9,3047,2496,1,32
-0.3853403141361256,0.1606558670350704,290,2865,0.30766550522648084,0.3071304347826087,0.3082024432809773,0.3092495636998255,0.30817391304347824,3,0,7,1989,1979,1,3
0.17075517075517077,0.32357449324372317,297,2079,0.5853775853775853,0.5853775853775853,0.5853775853775853,0.5853775853775853,0.5853775853775853,4,1,2,862,862,0,36
-0.31348233597692854,0.2802449764926441,614,6935,0.3710044874007594,0.3558940397350993,0.38745493871665465,0.38788752703677,0.3562913907284768,4,1,8,4860,4245,4,94
-0.6333491236380862,0.2802589824831613,598,8444,0.2366412213740458,0.2220261573593523,0.2533159639981052,0.2537896731406916,0.22244135353954744,3,2,14,7491,6301,0,70
-0.6156351791530945,0.2022074687936602,104,921,0.19601507808292945,0.19444444444444445,0.1976112920738328,0.20195439739413681,0.1987179487179487,1,1,7,750,735,3,5
-0.5412058673823517,0.24559306114469473,6847,64833,0.26835080332733946,0.255040084476123,0.2831274196782503,0.284638995573242,0.25640170619537883,65,16,205,53519,46379,23,434
