MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.6945481702763256,0.2405529530966886,123,1339,0.8267808485792137,0.8634146341463415,0.7931292008961912,0.8073188946975355,0.8788617886178862,7,3,1,149,258,2,49
0.34897959183673466,0.278509846502743,51,490,0.6280623608017817,0.6911764705882353,0.5755102040816327,0.5938775510204082,0.7132352941176471,4,4,3,117,199,3,23
0.07673716012084597,0.22943572005751386,330,1655,0.46521008403361347,0.5242424242424243,0.41812688821752264,0.4447129909365559,0.5575757575757576,2,1,3,584,919,25,54
0.5401412973667309,0.1713411860703535,186,1557,0.7014778325123153,0.717741935483871,0.6859344894026975,0.7488760436737315,0.7836021505376344,5,3,1,322,391,3,15
0.5360230547550433,0.20129454099743538,258,1735,0.6845523863315448,0.6710963455149501,0.6985590778097983,0.792507204610951,0.7613510520487264,3,4,0,431,360,14,59
-0.18343195266272194,0.20458208244499881,162,507,0.16365824308062576,0.20987654320987653,0.1341222879684418,0.23471400394477318,0.36728395061728397,0,2,3,205,388,7,20
0.6327077747989276,0.16016930250946043,102,373,0.8245838668373879,0.7892156862745098,0.8632707774798928,0.8632707774798928,0.7892156862745098,3,1,0,86,51,0,17
-0.49910746162084973,0.25741569486864596,630,2801,0.2554192572676861,0.24126984126984127,0.2713316672616923,0.3170296322741878,0.2819047619047619,1,2,4,2262,1913,24,131
0.26363636363636367,0.2630678134487925,78,220,0.5691489361702128,0.6858974358974359,0.4863636363636364,0.4863636363636364,0.6858974358974359,1,1,1,49,113,0,19
0.031073446327683607,0.24160145293747584,119,1062,0.5147679324894515,0.5126050420168067,0.5169491525423728,0.5216572504708098,0.5172735760971056,4,1,5,517,508,4,42
0.5606850335070737,0.16843443934517124,192,1343,0.770375883885374,0.7700892857142857,0.77066269545793,0.7840655249441548,0.7834821428571429,5,1,1,291,290,9,23
0.2907904278462654,0.22494724977771327,354,2758,0.6237585943468297,0.658999192897498,0.5920957215373459,0.5957215373459028,0.6630347054075868,4,3,2,835,1115,6,93
0.5691512279190004,0.17328605432275063,233,2321,0.7821973769081918,0.7806866952789699,0.7837139164153382,0.7871607065919862,0.7841201716738198,6,3,1,503,494,3,56
0.6281217926787548,0.189198587062644,336,2923,0.7777579754054535,0.8117559523809523,0.7464933287718097,0.7759151556619911,0.84375,7,3,1,420,655,12,102
0.806282722513089,0.14488393906277328,290,2865,0.892960462873674,0.9978448275862069,0.8080279232111692,0.8087260034904014,0.9987068965517242,8,0,2,3,548,4,0
0.6277056277056277,0.17947788065744322,297,2079,0.8138528138528138,0.8138528138528138,0.8138528138528138,0.8138528138528138,0.8138528138528138,5,2,0,387,387,0,35
0.1140065146579805,0.22660179243442977,104,921,0.5449649973074852,0.5405982905982906,0.5494028230184582,0.5667752442996743,0.5576923076923077,3,5,1,414,399,3,48
0.3809788860440091,0.19505136712337834,3845,26949,0.6593883966847671,0.6776315789473685,0.6421017477457419,0.66648113102527,0.7033599624060151,68,39,29,7575,8988,119,786
