MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.5414488424197161,0.21860974593872226,123,1339,0.7238944630248978,0.7204142011834319,0.7274085138162808,0.7811799850634802,0.7736686390532544,7,4,0,306,293,15,53
0.055102040816326525,0.22787307005945848,51,490,0.4888888888888889,0.46422018348623856,0.5163265306122449,0.6,0.5394495412844037,3,7,1,251,196,16,22
0.6273644388398487,0.14683130138277686,153,1586,0.8002447231569287,0.7771836007130125,0.8247162673392182,0.8448928121059268,0.7961972667855021,9,1,1,343,246,2,19
0.7681673165544134,0.13797831995735305,177,2821,0.8848275862068965,0.8613628734474655,0.9096065225097483,0.912796880538816,0.8643840214837194,15,2,1,404,246,4,33
0.7078119715928306,0.12636682084210968,198,2957,0.8489795918367347,0.8207070707070707,0.8792695299289821,0.8914440311126142,0.8320707070707071,12,3,1,532,321,11,25
-0.09848942598187316,0.23484484579359824,330,1655,0.47377326565143824,0.44420941300899,0.5075528700906344,0.5274924471299094,0.461660497091486,1,2,3,1018,782,18,53
0.6165703275529866,0.1650619112264406,186,1557,0.7791886032827501,0.7523923444976076,0.8079640333975594,0.8464996788696211,0.7882775119617225,6,3,0,354,239,4,19
0.3988472622478386,0.1650348074972232,258,1735,0.631460039536854,0.6190476190476191,0.6443804034582132,0.7279538904899135,0.6993355481727574,3,4,0,543,472,28,67
-0.8422090729783038,0.20351579433573247,162,507,0.10838272650296359,0.09495548961424333,0.126232741617357,0.2504930966469428,0.1884272997032641,0,2,3,547,380,7,9
0.5040214477211796,0.19381920080309448,102,373,0.7631241997439181,0.7303921568627451,0.7989276139410187,0.7989276139410187,0.7303921568627451,2,2,0,110,75,0,8
0.705771643663739,0.16760776223648652,126,1594,0.8533415841584159,0.8418803418803419,0.8651191969887077,0.8670012547051443,0.8437118437118437,10,1,2,256,212,1,4
-0.8732595501606568,0.3138404251853696,630,2801,0.171875,0.1463720813457193,0.20813995001785077,0.27954302034987505,0.1965854883253829,1,1,5,3200,2018,29,126
-0.8772727272727272,0.24432122305138781,78,220,0.05,0.05,0.05,0.06363636363636363,0.06363636363636363,0,0,3,206,206,1,0
0.5863063063063063,0.10018885645092869,254,2775,0.797522793738173,0.7630019749835418,0.8353153153153153,0.8407207207207207,0.7679394338380513,10,2,0,705,442,1,24
0.17249495628782785,0.139065782402766,230,2974,0.6159352629940865,0.5732908458864426,0.6654337592468057,0.6671149966375253,0.574739281575898,12,2,4,1468,990,3,24
0.2222222222222222,0.2060362693793223,119,1062,0.6316725978647687,0.5986509274873525,0.6685499058380414,0.6704331450094162,0.6003372681281619,5,3,2,474,350,2,23
0.45495160089352193,0.09596608770509382,192,1343,0.7242277633048009,0.7239583333333334,0.7244973938942666,0.7282204020848846,0.7276785714285714,5,0,2,366,365,1,5
0.1352827763496144,0.20685458571832496,287,3112,0.5859601035480433,0.5568740955137482,0.6182519280205655,0.6246786632390745,0.5626628075253256,7,3,3,1511,1168,12,87
0.5275562001450327,0.1986628494040475,354,2758,0.7581329561527581,0.7398205659075224,0.7773749093546047,0.7911530094271211,0.7529330572808833,7,1,1,716,576,11,50
0.46393512590695685,0.1319548764259072,365,4686,0.7552218692848205,0.6878835700508504,0.8371745625266752,0.841655996585574,0.6915658425390145,10,4,3,1759,742,11,51
0.5036622145626886,0.12500433236280314,233,2321,0.7477961728660503,0.7463519313304721,0.7492460146488582,0.7548470486859112,0.751931330472103,6,3,1,578,569,5,43
0.3308244953814574,0.1454410339915304,336,2923,0.6859465374394247,0.6315486470926885,0.7505986999657885,0.7615463564830653,0.6407599309153713,8,2,1,1248,697,11,54
0.6286212914485165,0.09747616048747446,290,2865,0.8146341463414634,0.8132173913043478,0.8160558464223385,0.8167539267015707,0.8139130434782609,8,0,2,535,525,4,4
0.5998075998075998,0.2001744717358902,297,2079,0.7999037999037999,0.7999037999037999,0.7999037999037999,0.7999037999037999,0.7999037999037999,5,2,0,416,416,0,20
0.5136265320836337,0.12342720638304215,614,6935,0.7663099758370728,0.7350993377483444,0.8002883922134102,0.8025955299206922,0.7372185430463576,10,0,3,1984,1369,20,34
0.4765513974419706,0.15125943338340236,598,8444,0.7486447615886713,0.7024081378451318,0.80139744197063,0.810279488394126,0.7101930662237907,11,6,2,2792,1602,26,173
0.5754614549402823,0.15466311449411568,104,921,0.7894453419493808,0.7831196581196581,0.7958740499457112,0.7958740499457112,0.7831196581196581,7,1,1,203,188,0,39
0.4022642789937223,0.15100268247402704,6847,64833,0.7047497916758036,0.6697928389812846,0.743556522141502,0.7580707355821881,0.6828671863059759,180,61,45,22825,15685,243,1069
