MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.5727699530516432,0.2059946469529832,39,426,0.7611241217798594,0.7593457943925234,0.7629107981220657,0.7910798122065728,0.7873831775700935,7,3,1,91,89,2,9
0.752212389380531,0.15076178683897087,13,113,0.8173913043478261,0.8034188034188035,0.831858407079646,0.9026548672566371,0.8717948717948718,8,1,0,15,11,2,2
0.9272727272727272,0.15187412370527523,25,275,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.9636363636363636,10,1,0,10,10,0,1
0.7553191489361702,0.145825753494321,18,188,0.8571428571428571,0.8375634517766497,0.8776595744680851,0.9042553191489362,0.8629441624365483,9,2,0,27,18,1,2
0.94375,0.1379133194372249,20,320,0.971875,0.971875,0.971875,0.971875,0.971875,15,1,0,9,9,0,0
0.8771929824561404,0.14767876751208783,25,399,0.9386733416770964,0.9375,0.9398496240601504,0.9398496240601504,0.9375,15,0,1,25,24,0,2
0.8885542168674698,0.15244530103980453,21,332,0.9440242057488654,0.9483282674772037,0.9397590361445783,0.9457831325301205,0.9544072948328267,15,1,0,15,18,4,4
0.6471494607087828,0.15519803251523961,41,649,0.8245210727969349,0.8201219512195121,0.8289676425269645,0.8289676425269645,0.8201219512195121,13,0,3,118,111,0,1
0.7007407407407407,0.16002881951599576,45,675,0.8503703703703703,0.8503703703703703,0.8503703703703703,0.8503703703703703,0.8503703703703703,12,1,2,101,101,0,5
0.16911764705882348,0.288672751606185,119,680,0.5848640705363704,0.5844346549192364,0.5852941176470589,0.5852941176470589,0.5844346549192364,3,1,2,283,282,0,9
0.7181303116147308,0.18862762337480246,81,706,0.8611304954640614,0.8486932599724897,0.8739376770538244,0.8739376770538244,0.8486932599724897,8,0,1,110,89,0,1
0.7934272300469484,0.13791527414018326,31,213,0.8976744186046511,0.8894009216589862,0.9061032863849765,0.9061032863849765,0.8894009216589862,6,1,0,24,20,0,0
0.7761194029850746,0.16295753450404876,30,201,0.8905109489051095,0.8714285714285714,0.9104477611940298,0.9104477611940298,0.8714285714285714,6,0,1,27,18,0,1
0.4547069271758437,0.17039438499570017,83,563,0.6783216783216783,0.6678141135972461,0.6891651865008881,0.7442273534635879,0.7211703958691911,5,1,1,162,144,1,6
0.8005181347150259,0.16094157473719792,57,386,0.9019108280254777,0.8872180451127819,0.917098445595855,0.917098445595855,0.8872180451127819,6,1,0,45,32,0,1
-0.24603174603174605,0.2522457359106676,46,126,0.3843137254901961,0.3798449612403101,0.3888888888888889,0.3888888888888889,0.3798449612403101,1,0,3,80,77,0,0
0.0,0.2580792920111577,38,151,0.5016501650165016,0.5,0.5033112582781457,0.5033112582781457,0.5,2,0,2,76,75,0,3
0.154320987654321,0.33324923452070915,70,324,0.5254237288135594,0.484375,0.5740740740740741,0.6728395061728395,0.5677083333333334,3,3,0,166,106,2,11
-0.023696682464454888,0.2729421728835893,65,211,0.5503080082135524,0.4855072463768116,0.6350710900473934,0.6492890995260664,0.4963768115942029,3,3,0,139,74,3,10
0.24193548387096775,0.2505265198926826,50,248,0.5708582834331337,0.5652173913043478,0.5766129032258065,0.6370967741935484,0.6245059288537549,3,2,1,95,90,3,3
-0.9568345323741008,0.0,51,139,0.02158273381294964,0.02158273381294964,0.02158273381294964,0.02158273381294964,0.02158273381294964,0,0,3,136,136,0,0
0.7018181818181819,0.1308621342935471,25,275,0.850909090909091,0.850909090909091,0.850909090909091,0.850909090909091,0.850909090909091,9,1,1,41,41,0,0
0.7320441988950277,0.14977595815351744,33,362,0.8662068965517241,0.8650137741046832,0.8674033149171271,0.8674033149171271,0.8650137741046832,10,0,1,49,48,0,1
0.6752577319587629,0.14472006223095668,13,194,0.8407960199004975,0.8125,0.8711340206185567,0.8762886597938144,0.8173076923076923,12,4,0,38,24,1,5
0.46403712296983757,0.17359994699530035,27,431,0.7323290845886443,0.7314814814814815,0.7331786542923434,0.7331786542923434,0.7314814814814815,10,3,3,116,115,0,10
0.5452961672473868,0.1738609259437435,36,574,0.7728459530026109,0.7721739130434783,0.7735191637630662,0.7735191637630662,0.7721739130434783,12,0,4,131,130,0,4
0.56,0.15638433382149475,24,375,0.7881899871630296,0.7599009900990099,0.8186666666666667,0.8186666666666667,0.7599009900990099,13,4,1,97,68,0,4
0.6547619047619048,0.20191172876538263,18,168,0.8313953488372093,0.8125,0.8511904761904762,0.8511904761904762,0.8125,7,2,1,33,25,0,3
0.65,0.2201063544510271,25,240,0.8285714285714286,0.812,0.8458333333333333,0.8458333333333333,0.812,7,2,1,47,37,0,4
0.8228571428571428,0.16734955495447146,50,350,0.9114285714285715,0.9114285714285715,0.9114285714285715,0.9114285714285715,0.9114285714285715,6,1,0,31,31,0,1
0.6418732782369145,0.24447769527383287,33,363,0.8275862068965517,0.7979539641943734,0.859504132231405,0.8622589531680441,0.8005115089514067,9,3,0,78,50,2,14
0.1648351648351648,0.21919062519042543,58,637,0.599549211119459,0.5749279538904899,0.6263736263736264,0.6295133437990581,0.5778097982708934,6,3,3,293,236,3,17
0.6529284164859002,0.23498561562417083,42,461,0.8264642082429501,0.8264642082429501,0.8264642082429501,0.8264642082429501,0.8264642082429501,8,2,1,80,80,0,14
0.8823529411764706,0.22384008716020135,51,374,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,7,0,1,22,22,0,5
0.75390625,0.21191240607324952,64,512,0.876953125,0.876953125,0.876953125,0.876953125,0.876953125,6,2,0,63,63,0,5
0.7607361963190185,0.21617470185634804,41,326,0.8807339449541285,0.8780487804878049,0.8834355828220859,0.8834355828220859,0.8780487804878049,7,0,1,40,38,0,0
0.6284722222222222,0.19956312110457047,36,288,0.8231404958677686,0.7854889589905363,0.8645833333333334,0.8645833333333334,0.7854889589905363,7,1,1,68,39,0,9
0.7209775967413442,0.21769527400054642,31,491,0.8611955420466059,0.8568548387096774,0.8655804480651731,0.8655804480651731,0.8568548387096774,12,4,0,71,66,0,17
0.7982832618025751,0.21282891268533358,30,466,0.9006342494714588,0.8875,0.9141630901287554,0.9141630901287554,0.8875,14,2,0,54,40,0,11
0.7184873949579832,0.22046492779228857,30,476,0.8598326359832636,0.85625,0.8634453781512605,0.8634453781512605,0.85625,13,1,2,69,65,0,7
0.7083333333333333,0.21764170507807695,30,480,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,13,2,1,70,70,0,11
0.8200836820083682,0.20272781156845268,30,478,0.9102296450939458,0.9083333333333333,0.9121338912133892,0.9121338912133892,0.9083333333333333,13,3,0,44,42,0,4
0.7371794871794872,0.22483665929492017,30,468,0.8649789029535865,0.8541666666666666,0.8760683760683761,0.8824786324786325,0.8604166666666667,13,2,1,67,55,1,9
0.8014705882352942,0.20588119490868792,34,544,0.9007352941176471,0.9007352941176471,0.9007352941176471,0.9007352941176471,0.9007352941176471,13,3,0,54,54,0,11
0.6180904522613065,0.1434886242753243,40,398,0.8095238095238095,0.8075,0.8115577889447236,0.8115577889447236,0.8075,7,3,0,77,75,0,4
0.625,0.13729366253720734,40,360,0.8170894526034713,0.7866323907455013,0.85,0.8555555555555555,0.7917737789203085,9,2,0,81,52,2,4
0.6777777777777778,0.18314750330558918,40,360,0.8388888888888889,0.8388888888888889,0.8388888888888889,0.8416666666666667,0.8416666666666667,7,2,0,57,57,2,7
0.5027777777777778,0.13919431677960764,40,360,0.7472222222222222,0.7472222222222222,0.7472222222222222,0.7527777777777778,0.7527777777777778,6,1,2,89,89,1,4
0.7586206896551724,0.1306926884582358,31,290,0.8793103448275862,0.8793103448275862,0.8793103448275862,0.8793103448275862,0.8793103448275862,8,1,1,35,35,0,0
0.725,0.14147369555832878,40,400,0.8625,0.8625,0.8625,0.8625,0.8625,8,2,0,55,55,0,7
0.88,0.16294258879491222,40,400,0.94,0.94,0.94,0.94,0.94,9,1,0,24,24,0,4
0.6909090909090909,0.15121900781822023,33,330,0.8454545454545455,0.8454545454545455,0.8454545454545455,0.8454545454545455,0.8454545454545455,8,1,1,51,51,0,2
0.9523809523809523,0.1469435734840779,30,210,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,7,0,0,5,5,0,0
0.6921296296296297,0.13960315902778492,41,432,0.8493771234428086,0.8314855875831486,0.8680555555555556,0.8680555555555556,0.8314855875831486,9,1,1,76,57,0,1
0.5857359635811836,0.15578623415201978,60,659,0.7991169977924945,0.7757142857142857,0.8239757207890743,0.8239757207890743,0.7757142857142857,10,1,1,157,116,0,5
0.729483282674772,0.15399595478554542,60,658,0.8649468892261002,0.8636363636363636,0.8662613981762918,0.8662613981762918,0.8636363636363636,9,1,1,90,88,0,5
0.8013355592654424,0.16638862158356915,50,599,0.9007506255212677,0.9,0.9015025041736227,0.9031719532554258,0.9016666666666666,10,2,0,59,58,2,5
0.8113207547169812,0.15191613197870135,53,636,0.9056603773584906,0.9056603773584906,0.9056603773584906,0.9056603773584906,0.9056603773584906,10,1,1,60,60,0,4
0.7507002801120448,0.19926135508468312,51,714,0.8753501400560224,0.8753501400560224,0.8753501400560224,0.8753501400560224,0.8753501400560224,10,4,0,89,89,0,29
0.7573354480570975,0.19461211182994098,90,1261,0.8792423046566693,0.8750981932443048,0.8834258524980174,0.8834258524980174,0.8750981932443048,12,1,2,159,147,0,26
0.7021276595744681,0.19788763501146495,55,846,0.8434017595307918,0.8370197904540163,0.8498817966903073,0.859338061465721,0.8463329452852154,13,2,1,132,119,1,24
0.4961515689757253,0.1918419469387177,110,1689,0.7168116755543081,0.6814300960512273,0.7560686796921255,0.8034339846062759,0.724119530416222,12,5,1,517,332,2,33
0.5874673629242819,0.21478200575058143,43,383,0.7948051948051948,0.7906976744186046,0.7989556135770235,0.7989556135770235,0.7906976744186046,6,2,1,81,77,0,6
0.6419346670043049,0.1851635416527545,2706,27643,0.8165122878406597,0.8057982246019445,0.82751510328112,0.8350757877220273,0.8131604903480344,547,100,57,5304,4559,35,407
