MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.5845070422535211,0.20732942024372383,39,426,0.7704918032786885,0.7686915887850467,0.7723004694835681,0.795774647887324,0.7920560747663551,8,2,1,89,87,1,3
0.6194690265486726,0.16994370334343376,13,113,0.7739130434782608,0.7606837606837606,0.7876106194690266,0.831858407079646,0.8034188034188035,6,3,0,23,19,1,3
0.92,0.14723674771537038,25,275,0.96,0.96,0.96,0.96,0.96,10,1,0,11,11,0,3
0.6329787234042553,0.13703120666539442,18,188,0.8207792207792208,0.8020304568527918,0.8404255319148937,0.8404255319148937,0.8020304568527918,8,2,1,39,30,0,3
0.94375,0.11919218277456138,20,320,0.971875,0.971875,0.971875,0.971875,0.971875,15,1,0,9,9,0,0
0.8270676691729324,0.10920794940093674,25,399,0.9136420525657072,0.9125,0.9147869674185464,0.9147869674185464,0.9125,14,1,1,35,34,0,4
0.8192771084337349,0.15304783662991384,21,332,0.9101796407185628,0.9047619047619048,0.9156626506024096,0.9216867469879518,0.9107142857142857,14,2,0,30,26,4,6
0.6409861325115562,0.1582636165773848,41,649,0.8209069946195234,0.8190184049079755,0.8228043143297381,0.8228043143297381,0.8190184049079755,13,0,3,118,115,0,0
0.6533333333333333,0.13423715113308643,45,675,0.8264094955489614,0.8276374442793462,0.8251851851851851,0.8251851851851851,0.8276374442793462,12,1,2,116,118,0,2
0.31029411764705883,0.25517558474754704,119,680,0.6554004408523145,0.6549192364170338,0.6558823529411765,0.6558823529411765,0.6549192364170338,3,2,1,235,234,0,12
0.7039660056657224,0.16896994365948748,81,706,0.854152128401954,0.8418156808803301,0.8668555240793201,0.8668555240793201,0.8418156808803301,7,1,1,115,94,0,2
0.8403755868544601,0.142197911300552,31,213,0.9209302325581395,0.9124423963133641,0.9295774647887324,0.9295774647887324,0.9124423963133641,6,1,0,19,15,0,2
0.7562189054726368,0.14044786901798545,30,201,0.8807785888077859,0.861904761904762,0.900497512437811,0.900497512437811,0.861904761904762,6,0,1,29,20,0,0
-0.09769094138543521,0.16452382810419136,83,563,0.458041958041958,0.4509466437177281,0.46536412078152756,0.4689165186500888,0.45438898450946646,2,3,2,317,299,2,7
0.7953367875647668,0.15934503583859488,57,386,0.8993630573248408,0.8847117794486216,0.9145077720207254,0.9145077720207254,0.8847117794486216,6,1,0,46,33,0,2
-0.23015873015873023,0.2835934013332732,46,126,0.39215686274509803,0.3875968992248062,0.3968253968253968,0.3968253968253968,0.3875968992248062,1,0,3,79,76,0,1
-0.17218543046357615,0.17930079388379527,38,151,0.4158415841584158,0.4144736842105263,0.41721854304635764,0.41721854304635764,0.4144736842105263,1,1,2,89,88,0,2
-0.13888888888888884,0.31938300373424455,70,324,0.3926553672316384,0.3619791666666667,0.42901234567901236,0.5308641975308642,0.4479166666666667,3,2,1,212,152,5,19
-0.16113744075829395,0.2956839020887662,65,211,0.44353182751540043,0.391304347826087,0.5118483412322274,0.5829383886255924,0.44565217391304346,3,3,0,153,88,4,11
0.24596774193548387,0.31673365198950776,50,248,0.5548902195608783,0.549407114624506,0.5604838709677419,0.6370967741935484,0.6245059288537549,2,3,1,95,90,2,6
-0.9568345323741008,0.0,51,139,0.02158273381294964,0.02158273381294964,0.02158273381294964,0.02158273381294964,0.02158273381294964,0,0,3,136,136,0,0
0.7018181818181819,0.12263417667556002,25,275,0.850909090909091,0.850909090909091,0.850909090909091,0.850909090909091,0.850909090909091,9,1,1,41,41,0,0
0.7320441988950277,0.1429059016321176,33,362,0.8662068965517241,0.8650137741046832,0.8674033149171271,0.8674033149171271,0.8650137741046832,10,0,1,49,48,0,3
0.6649484536082475,0.09908639383458659,13,194,0.835820895522388,0.8076923076923077,0.865979381443299,0.8711340206185567,0.8125,12,4,0,39,25,1,4
0.45011600928074247,0.16078150397377017,27,431,0.7253765932792584,0.7245370370370371,0.7262180974477959,0.7262180974477959,0.7245370370370371,10,3,3,119,118,0,9
0.5487804878048781,0.11553300887426533,36,574,0.7745865970409052,0.7739130434782608,0.7752613240418118,0.7752613240418118,0.7739130434782608,12,0,4,130,129,0,1
0.6453333333333333,0.14579188837124327,24,375,0.8292682926829268,0.7995049504950495,0.8613333333333333,0.8613333333333333,0.7995049504950495,13,4,1,81,52,0,6
