MOTA,MOTP,Frames,GT,IDF1,IDP,IDR,Rcll,Prcn,MT,PT,ML,FP,FN,IDsw,FM
0.6009389671361502,0.1702304251838243,39,426,0.7681498829039812,0.7663551401869159,0.7699530516431925,0.8051643192488263,0.8014018691588785,8,2,1,85,83,2,11
0.6902654867256637,0.1608885919414879,13,113,0.808695652173913,0.7948717948717948,0.8230088495575221,0.8672566371681416,0.8376068376068376,7,2,0,19,15,1,2
0.8545454545454545,0.08586925026206897,25,275,0.9272727272727272,0.9272727272727272,0.9272727272727272,0.9272727272727272,0.9272727272727272,10,1,0,20,20,0,1
0.7446808510638299,0.10376627893803808,18,188,0.8467532467532467,0.8274111675126904,0.8670212765957447,0.898936170212766,0.8578680203045685,8,3,0,28,19,1,3
0.94375,0.07613080965211862,20,320,0.971875,0.971875,0.971875,0.971875,0.971875,15,1,0,9,9,0,0
0.8922305764411027,0.11372741425976134,25,399,0.9461827284105131,0.945,0.9473684210526315,0.9473684210526315,0.945,15,1,0,22,21,0,1
0.8795180722891567,0.09934183914699836,21,332,0.9401197604790419,0.9345238095238095,0.9457831325301205,0.9487951807228916,0.9375,15,1,0,21,17,2,5
0.7503852080123267,0.12837561903948982,41,649,0.8735632183908046,0.8689024390243902,0.8782742681047766,0.8813559322033898,0.8719512195121951,13,1,2,84,77,1,8
0.76,0.10334438549428496,45,675,0.88,0.88,0.88,0.88,0.88,13,0,2,81,81,0,0
0.388235294117647,0.2074866397198435,119,680,0.6642174871418075,0.6637298091042585,0.6647058823529411,0.6985294117647058,0.697503671071953,3,2,1,206,205,5,33
0.6855524079320113,0.15031963899654283,81,706,0.8443824145150035,0.8321870701513068,0.8569405099150141,0.8583569405099151,0.8335625859697386,7,1,1,121,100,1,3
0.8497652582159625,0.09928555144301747,31,213,0.9255813953488372,0.9170506912442397,0.9342723004694836,0.9342723004694836,0.9170506912442397,6,1,0,18,14,0,1
0.8059701492537313,0.10779995019434788,30,201,0.9051094890510949,0.8857142857142857,0.9253731343283582,0.9253731343283582,0.8857142857142857,6,1,0,24,15,0,1
0.23090586145648317,0.14914853919384521,83,563,0.5821678321678322,0.5731497418244407,0.5914742451154529,0.6429840142095915,0.6230636833046471,3,4,0,219,201,13,23
0.7435233160621761,0.10542852333145165,57,386,0.8738853503184714,0.8596491228070176,0.8886010362694301,0.8886010362694301,0.8596491228070176,6,0,1,56,43,0,1
-0.23015873015873023,0.10904330168644673,46,126,0.39215686274509803,0.3875968992248062,0.3968253968253968,0.3968253968253968,0.3875968992248062,1,0,3,79,76,0,0
0.11258278145695366,0.1928287180703138,38,151,0.5544554455445545,0.5526315789473685,0.5562913907284768,0.5629139072847682,0.5592105263157895,1,2,1,67,66,1,8
0.08950617283950613,0.2845582446627522,70,324,0.4971751412429379,0.4583333333333333,0.5432098765432098,0.6450617283950617,0.5442708333333334,3,3,0,175,115,5,8
0.033175355450236976,0.24713772793847907,65,211,0.5133470225872689,0.4528985507246377,0.5924170616113744,0.6824644549763034,0.5217391304347826,4,1,1,132,67,5,7
0.29032258064516125,0.238888585007417,50,248,0.5988023952095808,0.5928853754940712,0.6048387096774194,0.6612903225806451,0.6482213438735178,3,2,1,89,84,3,2
-0.7913669064748201,0.13132795482895607,51,139,0.08633093525179857,0.08633093525179857,0.08633093525179857,0.1079136690647482,0.1079136690647482,0,1,2,124,124,1,2
0.6727272727272727,0.07560588814138273,25,275,0.8363636363636363,0.8363636363636363,0.8363636363636363,0.8363636363636363,0.8363636363636363,9,0,2,45,45,0,0
0.7928176795580111,0.0893295369497821,33,362,0.896551724137931,0.8953168044077136,0.8977900552486188,0.8977900552486188,0.8953168044077136,10,0,1,38,37,0,3
0.6134020618556701,0.09185225127295425,13,194,0.8109452736318408,0.7836538461538461,0.8402061855670103,0.845360824742268,0.7884615384615384,12,2,2,44,30,1,2
0.35730858468677495,0.11527694344488155,27,431,0.6790266512166859,0.6782407407407407,0.679814385150812,0.679814385150812,0.6782407407407407,10,1,5,139,138,0,4
0.524390243902439,0.0863870799482902,36,574,0.762402088772846,0.7617391304347826,0.7630662020905923,0.7630662020905923,0.7617391304347826,12,0,4,137,136,0,1
0.4746666666666667,0.09795034292037369,24,375,0.7471116816431322,0.7202970297029703,0.776,0.776,0.7202970297029703,13,2,3,113,84,0,0
0.7261904761904762,0.19478006278930957,18,168,0.8662790697674418,0.8465909090909091,0.8869047619047619,0.8869047619047619,0.8465909090909091,7,3,0,27,19,0,5
0.575,0.16420041158309978,25,240,0.7918367346938775,0.776,0.8083333333333333,0.8125,0.78,7,3,0,55,45,2,10
0.7885714285714286,0.0910683274020725,50,350,0.8942857142857142,0.8942857142857142,0.8942857142857142,0.8942857142857142,0.8942857142857142,6,1,0,37,37,0,4
0.4380165289256198,0.177802940819652,33,363,0.7294429708222812,0.7033248081841432,0.7575757575757576,0.7603305785123967,0.7058823529411765,8,3,1,115,87,2,16
0.33751962323390894,0.21325899107907628,58,637,0.6791885800150262,0.6512968299711815,0.7095761381475667,0.7158555729984302,0.6570605187319885,8,1,3,238,181,3,20
0.3145336225596529,0.16155493379800426,42,461,0.6572668112798264,0.6572668112798264,0.6572668112798264,0.6572668112798264,0.6572668112798264,7,0,4,158,158,0,2
0.8716577540106951,0.16874244138600797,51,374,0.9358288770053476,0.9358288770053476,0.9358288770053476,0.9358288770053476,0.9358288770053476,7,0,1,24,24,0,5
0.80859375,0.1694692809952686,64,512,0.904296875,0.904296875,0.904296875,0.904296875,0.904296875,6,2,0,49,49,0,4
0.7361963190184049,0.13106026988222022,41,326,0.8685015290519877,0.8658536585365854,0.8711656441717791,0.8711656441717791,0.8658536585365854,7,0,1,44,42,0,4
0.5520833333333333,0.1296236934341275,36,288,0.7867768595041322,0.750788643533123,0.8263888888888888,0.8263888888888888,0.750788643533123,7,1,1,79,50,0,7
0.4806517311608961,0.1220915752553004,31,491,0.7416413373860182,0.7379032258064516,0.745417515274949,0.745417515274949,0.7379032258064516,11,2,3,130,125,0,7
0.48068669527897,0.10800118014937427,30,466,0.7441860465116279,0.7333333333333333,0.7553648068669528,0.7553648068669528,0.7333333333333333,11,2,3,128,114,0,1
0.45798319327731096,0.10758719525247039,30,476,0.7301255230125523,0.7270833333333333,0.7331932773109243,0.7331932773109243,0.7270833333333333,11,2,3,131,127,0,6
0.4833333333333333,0.12437974988629592,30,480,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,11,2,3,124,124,0,5
0.5397489539748954,0.10566354935262112,30,478,0.7703549060542797,0.76875,0.7719665271966527,0.7719665271966527,0.76875,11,2,3,111,109,0,2
0.4273504273504274,0.13487494715866777,30,468,0.7172995780590717,0.7083333333333334,0.7264957264957265,0.7264957264957265,0.7083333333333334,10,2,4,140,128,0,2
